epoch,train_loss,val_loss,val_auc
1,0.09364969670688879,0.14648920133592352,0.9883354082906921
2,0.03471784780917915,0.18436956102707433,0.9852309675012183
3,0.0287224951173539,0.16248026697790516,0.9887075680738305
4,0.023280702018848843,0.16391272896398576,0.9909092120492203
5,0.0235264000668451,0.2686587758774767,0.9833902042976365
6,0.022092387193436026,0.10760713882201094,0.9929406714485868
7,0.020473815791136475,0.1205856782663871,0.9950670268335771
8,0.020277825013326947,0.1314610939147625,0.9938911542093081
9,0.019730014682084514,0.14719910154791596,0.9929618493390594
10,0.019408511236798633,0.15202869107408662,0.9932317365679824
